County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),ageadj_incdrate,low95,upper95,5yr_incdtrend,low95_trend,upper95_trend,CRUDE
Baltimore City(6),24510,Urban,17.4,16,18.9,0.9,-0.1,2,13
Somerset County(6),24039,Urban,16.3,10.4,24.5,NaN,NaN,NaN,99
Charles County(6),24017,Urban,15.5,13,18.5,2.3,0.5,4.4,118
Wicomico County(6),24045,Urban,15.1,12.1,18.5,1.6,-1.2,4.7,154
Cecil County(6),24015,Urban,14.5,11.7,17.9,0.2,-3.8,2.6,16
St. Marys County(6),24037,Urban,14.3,11.5,17.7,0.9,-2,4.4,6
Talbot County(6),24041,Rural,14.2,10.4,19.3,3.7,0.5,7.6,31
Worcester County(6),24047,Rural,14.2,10.9,18.4,2.2,-2.2,6.9,19
Anne Arundel County(6),24003,Urban,14.2,12.9,15.5,0.7,-0.5,2.1,28
Calvert County(6),24009,Urban,14.1,11.2,17.7,2.1,-0.9,6,7
Harford County(6),24025,Urban,14,12.2,16,0.6,-0.9,2.4,36
Baltimore County(6),24005,Urban,13.7,12.8,14.8,0.8,-0.6,2.3,6
Carroll County(6),24013,Urban,13.5,11.4,16,0.5,-1.6,2.9,46
Dorchester County(6),24019,Rural,13.5,9.1,19.6,-1.6,-4.8,1.7,49
Howard County(6),24027,Urban,13.5,11.8,15.3,0.1,-1.9,2.6,4
Prince Georges County(6),24033,Urban,13.1,12.2,14.2,0.5,-0.1,1.1,150
Washington County(6),24043,Urban,13,10.9,15.5,0.6,-1.8,3.2,140
Allegany County(6),24001,Rural,12.7,9.7,16.5,1.5,-2,5,9
Caroline County(6),24011,Rural,12.7,8.4,18.6,-2.6,-6.9,1.7,5
Queen Annes County(6),24035,Urban,12.3,8.9,16.8,0.3,-3.3,4.5,18
Garrett County(6),24023,Rural,11.9,7.7,18.1,2,-1.4,6.2,11
Frederick County(6),24021,Urban,11.5,9.9,13.4,0.2,-1.9,2.7,27
Montgomery County(6),24031,Urban,11.4,10.6,12.3,0.2,-0.7,1.2,19
Kent County(6),24029,Rural,9.6,5.7,16.5,-1.6,-9.5,6.1,15
