,Geo_ID,Name,Median_income
0,0500000US12001,"Alachua County, Florida",53314
1,0500000US12003,"Baker County, Florida",63860
2,0500000US12005,"Bay County, Florida",60473
3,0500000US12007,"Bradford County, Florida",48803
4,0500000US12009,"Brevard County, Florida",63632
5,0500000US12011,"Broward County, Florida",64522
6,0500000US12013,"Calhoun County, Florida",38098
7,0500000US12015,"Charlotte County, Florida",57887
8,0500000US12017,"Citrus County, Florida",48664
9,0500000US12019,"Clay County, Florida",74059
10,0500000US12021,"Collier County, Florida",75543
11,0500000US12023,"Columbia County, Florida",47750
12,0500000US12027,"DeSoto County, Florida",39945
13,0500000US12029,"Dixie County, Florida",44287
14,0500000US12031,"Duval County, Florida",59541
15,0500000US12033,"Escambia County, Florida",56605
16,0500000US12035,"Flagler County, Florida",62305
17,0500000US12037,"Franklin County, Florida",52679
18,0500000US12039,"Gadsden County, Florida",42661
19,0500000US12041,"Gilchrist County, Florida",50983
20,0500000US12043,"Glades County, Florida",38088
21,0500000US12045,"Gulf County, Florida",53812
22,0500000US12047,"Hamilton County, Florida",39346
23,0500000US12049,"Hardee County, Florida",41395
24,0500000US12051,"Hendry County, Florida",38843
25,0500000US12053,"Hernando County, Florida",53301
26,0500000US12055,"Highlands County, Florida",46895
27,0500000US12057,"Hillsborough County, Florida",64164
28,0500000US12059,"Holmes County, Florida",41809
29,0500000US12061,"Indian River County, Florida",61594
30,0500000US12063,"Jackson County, Florida",43416
31,0500000US12065,"Jefferson County, Florida",53080
32,0500000US12067,"Lafayette County, Florida",56458
33,0500000US12069,"Lake County, Florida",60013
34,0500000US12071,"Lee County, Florida",63235
35,0500000US12073,"Leon County, Florida",57359
36,0500000US12075,"Levy County, Florida",43029
37,0500000US12077,"Liberty County, Florida",42438
38,0500000US12079,"Madison County, Florida",39503
39,0500000US12081,"Manatee County, Florida",64964
40,0500000US12083,"Marion County, Florida",50808
41,0500000US12085,"Martin County, Florida",69769
42,0500000US12086,"Miami-Dade County, Florida",57815
43,0500000US12087,"Monroe County, Florida",73153
44,0500000US12089,"Nassau County, Florida",77504
45,0500000US12091,"Okaloosa County, Florida",67390
46,0500000US12093,"Okeechobee County, Florida",47020
47,0500000US12095,"Orange County, Florida",65784
48,0500000US12097,"Osceola County, Florida",58513
49,0500000US12099,"Palm Beach County, Florida",68874
50,0500000US12101,"Pasco County, Florida",58084
51,0500000US12103,"Pinellas County, Florida",60451
52,0500000US12105,"Polk County, Florida",55099
53,0500000US12107,"Putnam County, Florida",39975
54,0500000US12109,"St. Johns County, Florida",88794
55,0500000US12111,"St. Lucie County, Florida",59807
56,0500000US12113,"Santa Rosa County, Florida",77260
57,0500000US12115,"Sarasota County, Florida",69490
58,0500000US12117,"Seminole County, Florida",73002
59,0500000US12119,"Sumter County, Florida",63323
60,0500000US12121,"Suwannee County, Florida",47218
61,0500000US12123,"Taylor County, Florida",43563
62,0500000US12125,"Union County, Florida",55463
63,0500000US12127,"Volusia County, Florida",56786
64,0500000US12129,"Wakulla County, Florida",72941
65,0500000US12131,"Walton County, Florida",68111
66,0500000US12133,"Washington County, Florida",41806
